menu_item_id,quantity_sold,sales_date,store_id
Plăcintă cu vișină,2,4/9/2026,starkebab_portmall
Star Kebab pui personal,2,4/9/2026,starkebab_portmall
cu Topping Ardei Iute Jalapeno,1,4/9/2026,starkebab_portmall
cu Star Kebab Pui,4,4/9/2026,starkebab_portmall
Starburger de Vită,1,4/9/2026,starkebab_portmall
Baiețel,1,4/9/2026,starkebab_portmall
Star Kebab Pulled Pork Mare,2,4/9/2026,starkebab_portmall
Roll Caesar ,2,4/9/2026,starkebab_portmall
Falafel,1,4/9/2026,starkebab_portmall
Pui crocant,1,4/9/2026,starkebab_portmall
Hot dog classic,2,4/9/2026,starkebab_portmall
Pachet kebab livrare,6,4/9/2026,starkebab_portmall
Hot dog classic  personal,2,4/9/2026,starkebab_portmall
Salată Caesar Creveți,1,4/9/2026,starkebab_portmall
Sos Alb,5,4/9/2026,starkebab_portmall
cu ardei,5,4/9/2026,starkebab_portmall
PopCorn de pui,1,4/9/2026,starkebab_portmall
Star Kebab Pulled Pork,5,4/9/2026,starkebab_portmall
Star Kebab Vânătoresc,1,4/8/2026,starkebab_portmall
Hot dog classic,5,4/8/2026,starkebab_portmall
Star Sticks,3,4/8/2026,starkebab_portmall
Hot dog classic  personal,1,4/8/2026,starkebab_portmall
cu TOPPING Cașcaval,2,4/8/2026,starkebab_portmall
Topping Carne Pui,1,4/8/2026,starkebab_portmall
Pachet kebab livrare,1,4/8/2026,starkebab_portmall
Gozleme Vânătoresc,1,4/8/2026,starkebab_portmall
cu Star Kebab Pulled Pork,2,4/8/2026,starkebab_portmall
Star Kebab Pulled Pork Mare,2,4/8/2026,starkebab_portmall
Gozleme,1,4/8/2026,starkebab_portmall
Kids Box cu roll,1,4/8/2026,starkebab_portmall
Pită BBQ,1,4/8/2026,starkebab_portmall
Star Kebab Pulled Pork,1,4/8/2026,starkebab_portmall
Starburger Pui,2,4/8/2026,starkebab_portmall
Pită Vânătorească,1,4/8/2026,starkebab_portmall
Pită Grecească,3,4/8/2026,starkebab_portmall
Sos Alb,1,4/8/2026,starkebab_portmall
cu TOPPING Crenvurști Vienezi,3,4/8/2026,starkebab_portmall
Plăcintă cu vișină,3,4/8/2026,starkebab_portmall
Cartof copt cu crenvurști,1,4/8/2026,starkebab_portmall
Fetiță,1,4/8/2026,starkebab_portmall
Hot dog double,2,4/8/2026,starkebab_portmall
Star Kebab pui personal,3,4/8/2026,starkebab_portmall
Star Kebab Pui,22,4/8/2026,starkebab_portmall
cu ardei,20,4/8/2026,starkebab_portmall
cu Sos Ketchup,1,4/8/2026,starkebab_portmall
Gozleme cu carne de pui personal,1,4/8/2026,starkebab_portmall
cu Lipie clasica,1,4/8/2026,starkebab_portmall
Roll Caesar ,2,4/8/2026,starkebab_portmall
Cartof copt cu creveți,2,4/8/2026,starkebab_portmall
Plăcintă cu cartofi,5,4/8/2026,starkebab_portmall
cu semințe,1,4/8/2026,starkebab_portmall
Star Kebab Veggie,6,4/8/2026,starkebab_portmall
Hot dog Pulled Pork,1,4/8/2026,starkebab_portmall
Gozleme cu carne de pui,1,4/8/2026,starkebab_portmall
cu TOPPING Morcov Picant,3,4/8/2026,starkebab_portmall
Sos Ketchup,2,4/8/2026,starkebab_portmall
Star Kebab Pulled Pork_,4,4/8/2026,starkebab_portmall
Roll cu Pui Crocant,5,4/8/2026,starkebab_portmall
Cartofi pai,4,4/8/2026,starkebab_portmall
Salată Caesar Pui,1,4/8/2026,starkebab_portmall
cu TOPPING Ceapă,4,4/8/2026,starkebab_portmall
Cheese StarKebab,1,4/8/2026,starkebab_portmall
cu Sos BBQ,1,4/8/2026,starkebab_portmall
cu Cartofi pai,5,4/8/2026,starkebab_portmall
Star Kebab Pui Mare,11,4/8/2026,starkebab_portmall
Cartofi pai_,2,4/8/2026,starkebab_portmall
Plăcintă cu brânză și verdeață,12,4/8/2026,starkebab_portmall
cu Sos Alb,3,4/8/2026,starkebab_portmall
Combo Star Kebab,5,4/8/2026,starkebab_portmall
cu Star Kebab Pui,3,4/8/2026,starkebab_portmall
Sos Tzatziki,1,4/7/2026,starkebab_portmall
Star Kebab Pulled Pork Mare,3,4/7/2026,starkebab_portmall
Pită BBQ,1,4/7/2026,starkebab_portmall
Jucarie baietel,200,4/7/2026,starkebab_portmall
Sos Alb,2,4/7/2026,starkebab_portmall
Roll cu Creveți,1,4/7/2026,starkebab_portmall
Kids Box cu roll,4,4/7/2026,starkebab_portmall
Sos Sweet Chilli,1,4/7/2026,starkebab_portmall
Starburger Pui,3,4/7/2026,starkebab_portmall
Star Sticks,3,4/7/2026,starkebab_portmall
Plăcintă cu brânză și verdeață,5,4/7/2026,starkebab_portmall
cu Star Kebab Pui,3,4/7/2026,starkebab_portmall
Hot dog classic  personal,1,4/7/2026,starkebab_portmall
Salată Caesar Creveți,1,4/7/2026,starkebab_portmall
cu Sos Alb,2,4/7/2026,starkebab_portmall
Hot dog classic,3,4/7/2026,starkebab_portmall
Star Kebab Pulled Pork,5,4/7/2026,starkebab_portmall
Star Kebab Veggie,7,4/7/2026,starkebab_portmall
Star Kebab pui personal,7,4/7/2026,starkebab_portmall
Cheese StarKebab,3,4/7/2026,starkebab_portmall
Roll cu Pui Crocant,2,4/7/2026,starkebab_portmall
Salată Caesar Pui,1,4/7/2026,starkebab_portmall
Pachet kebab livrare,5,4/7/2026,starkebab_portmall
fără cartofi,1,4/7/2026,starkebab_portmall
Platou Vânătoresc,2,4/7/2026,starkebab_portmall
cu Sos de Post,1,4/7/2026,starkebab_portmall
Cartofi pai,10,4/7/2026,starkebab_portmall
Hot dog double,1,4/7/2026,starkebab_portmall
cu Star Kebab Veggie,3,4/7/2026,starkebab_portmall
Roll Caesar ,7,4/7/2026,starkebab_portmall
Baiețel,3,4/7/2026,starkebab_portmall
cu Sos Ketchup,3,4/7/2026,starkebab_portmall
Sos Alb,2,4/7/2026,starkebab_portmall
Roll Fitness,2,4/7/2026,starkebab_portmall
Sos BBQ,1,4/7/2026,starkebab_portmall
cu ardei,5,4/7/2026,starkebab_portmall
Sos Muștar,1,4/7/2026,starkebab_portmall
cu Cartofi pai,6,4/7/2026,starkebab_portmall
Combo Star Kebab,6,4/7/2026,starkebab_portmall
Kids Box cu burger,2,4/7/2026,starkebab_portmall
Suc Naturalis 200 ml,2,4/7/2026,starkebab_portmall
Star Kebab Pui,16,4/7/2026,starkebab_portmall
Pachet wrap livrare,2,4/7/2026,starkebab_portmall
Sos Ketchup,3,4/7/2026,starkebab_portmall
Creveți cu sos (6 buc),1,4/7/2026,starkebab_portmall
Fetiță,3,4/7/2026,starkebab_portmall
Topping Carne Pui,1,4/7/2026,starkebab_portmall
Star Kebab Pui Mare,2,4/7/2026,starkebab_portmall
cu TOPPING Cașcaval,4,4/7/2026,starkebab_portmall
Plăcintă cu vișină,3,4/7/2026,starkebab_portmall
cu TOPPING Ceapă,1,4/6/2026,starkebab_portmall
Cheese StarKebab,3,4/6/2026,starkebab_portmall
Plăcintă cu vișină,2,4/6/2026,starkebab_portmall
Star Kebab Pulled Pork,4,4/6/2026,starkebab_portmall
Roll cu Pui Crocant,1,4/6/2026,starkebab_portmall
Kids Box cu roll,2,4/6/2026,starkebab_portmall
Gozleme cu carne de pui,1,4/6/2026,starkebab_portmall
Plăcintă cu brânză și verdeață,8,4/6/2026,starkebab_portmall
cu Sos Alb,3,4/6/2026,starkebab_portmall
cu Lipie clasica,1,4/6/2026,starkebab_portmall
Nuggets,2,4/6/2026,starkebab_portmall
Star Kebab pui personal,3,4/6/2026,starkebab_portmall
Star Sticks,1,4/6/2026,starkebab_portmall
Roll Fitness,2,4/6/2026,starkebab_portmall
cu Star Kebab Pui,5,4/6/2026,starkebab_portmall
Plăcintă cu cartofi,4,4/6/2026,starkebab_portmall
Star Kebab Pui,17,4/6/2026,starkebab_portmall
Sos Ketchup,1,4/6/2026,starkebab_portmall
cu Sos BBQ,1,4/6/2026,starkebab_portmall
fără castraveți murați,2,4/6/2026,starkebab_portmall
cu TOPPING Carne Pui,1,4/6/2026,starkebab_portmall
Star Kebab Pui Mare,10,4/6/2026,starkebab_portmall
Fetiță,1,4/6/2026,starkebab_portmall
Cartofi pai,5,4/6/2026,starkebab_portmall
Platou Pui,1,4/6/2026,starkebab_portmall
cu Cartofi pai,5,4/6/2026,starkebab_portmall
Combo Star Kebab,5,4/6/2026,starkebab_portmall
Sos BBQ,1,4/6/2026,starkebab_portmall
cu TOPPING Cașcaval,6,4/6/2026,starkebab_portmall
Pui crocant,2,4/6/2026,starkebab_portmall
Pită Grecească,2,4/6/2026,starkebab_portmall
Hot dog classic,5,4/6/2026,starkebab_portmall
cu Sos Ketchup,1,4/6/2026,starkebab_portmall
cu ardei,4,4/6/2026,starkebab_portmall
Sos Ketchup,1,4/6/2026,starkebab_portmall
Hot dog double,2,4/6/2026,starkebab_portmall
Star Kebab Pulled Pork Mare,3,4/6/2026,starkebab_portmall
Pachet kebab livrare,6,4/6/2026,starkebab_portmall
Baiețel,1,4/6/2026,starkebab_portmall
cu TOPPING Morcov Picant,1,4/6/2026,starkebab_portmall
Star Kebab Veggie,5,4/6/2026,starkebab_portmall
Sos Alb,2,4/6/2026,starkebab_portmall
Gozleme cu carne de pui personal,1,4/6/2026,starkebab_portmall
Sos Alb,5,4/6/2026,starkebab_portmall
Hot dog classic  personal,5,4/6/2026,starkebab_portmall
Gozleme,1,4/6/2026,starkebab_portmall
Roll Caesar ,1,4/6/2026,starkebab_portmall
Star Kebab Pui Mare_,2,4/6/2026,starkebab_portmall
cu TOPPING Morcov Picant,1,4/5/2026,starkebab_portmall
cu Star Kebab Pui,10,4/5/2026,starkebab_portmall
Combo Pui Crocant_,1,4/5/2026,starkebab_portmall
Plăcintă cu brânză și verdeață,6,4/5/2026,starkebab_portmall
cu Cheese StarKebab,1,4/5/2026,starkebab_portmall
Roll cu Pui Crocant,6,4/5/2026,starkebab_portmall
cu Sos Sweet Chilli,1,4/5/2026,starkebab_portmall
Star Kebab Pulled Pork,12,4/5/2026,starkebab_portmall
Sos Ketchup *,1,4/5/2026,starkebab_portmall
Gozleme,1,4/5/2026,starkebab_portmall
Roll Caesar ,7,4/5/2026,starkebab_portmall
Sos Ketchup,9,4/5/2026,starkebab_portmall
Gozleme cu carne de pui,5,4/5/2026,starkebab_portmall
Roll Fitness,5,4/5/2026,starkebab_portmall
Star Kebab Veggie,1,4/5/2026,starkebab_portmall
Start Savuros: Gozleme + Cafea/Ceai la alegere,1,4/5/2026,starkebab_portmall
Salată Caesar Creveți,2,4/5/2026,starkebab_portmall
cu ardei,22,4/5/2026,starkebab_portmall
cu Sos Ketchup,2,4/5/2026,starkebab_portmall
Cartof copt cu crenvurști,1,4/5/2026,starkebab_portmall
Combo Pui Crocant,2,4/5/2026,starkebab_portmall
Cartofi pai,14,4/5/2026,starkebab_portmall
Plăcintă cu cartofi,6,4/5/2026,starkebab_portmall
Hot dog double,1,4/5/2026,starkebab_portmall
Starburger Pui,2,4/5/2026,starkebab_portmall
Sos Creamy Sweet Chili_,1,4/5/2026,starkebab_portmall
Kids Box cu roll,24,4/5/2026,starkebab_portmall
Plăcintă cu vișină,2,4/5/2026,starkebab_portmall
Nuggets,3,4/5/2026,starkebab_portmall
Fetiță,13,4/5/2026,starkebab_portmall
Salată Grecească,3,4/5/2026,starkebab_portmall
Pită BBQ,2,4/5/2026,starkebab_portmall
Cartof copt pulled pork,1,4/5/2026,starkebab_portmall
cu TOPPING Cașcaval,24,4/5/2026,starkebab_portmall
Sos BBQ,1,4/5/2026,starkebab_portmall
Star Kebab Pui Mare *,1,4/5/2026,starkebab_portmall
cu TOPPING Ardei Dulce,1,4/5/2026,starkebab_portmall
Aripioare BBQ,1,4/5/2026,starkebab_portmall
fără cartofi,2,4/5/2026,starkebab_portmall
Pachet kebab livrare,5,4/5/2026,starkebab_portmall
Combo Pită,2,4/5/2026,starkebab_portmall
cu TOPPING Carne Pui,2,4/5/2026,starkebab_portmall
Star Sticks,4,4/5/2026,starkebab_portmall
Platou Pui,1,4/5/2026,starkebab_portmall
Hot dog Pulled Pork_,1,4/5/2026,starkebab_portmall
cu Pită BBQ,1,4/5/2026,starkebab_portmall
cu Star Kebab Pulled Pork,4,4/5/2026,starkebab_portmall
Hot dog Pulled Pork,2,4/5/2026,starkebab_portmall
Sos Alb,8,4/5/2026,starkebab_portmall
Hot dog classic,4,4/5/2026,starkebab_portmall
Star Kebab Pui Mare,28,4/5/2026,starkebab_portmall
Combo Star Kebab,15,4/5/2026,starkebab_portmall
cu TOPPING Carne Porc,2,4/5/2026,starkebab_portmall
Baiețel,11,4/5/2026,starkebab_portmall
Sos Caesar,1,4/5/2026,starkebab_portmall
Pui crocant,3,4/5/2026,starkebab_portmall
cu semințe,1,4/5/2026,starkebab_portmall
cu Sos BBQ,1,4/5/2026,starkebab_portmall
Cartofi pai *,1,4/5/2026,starkebab_portmall
Star Kebab Pulled Pork Mare,9,4/5/2026,starkebab_portmall
Salată Caesar Pui,3,4/5/2026,starkebab_portmall
cu TOPPING Ceapă,1,4/5/2026,starkebab_portmall
Star Kebab pui personal,4,4/5/2026,starkebab_portmall
Star Kebab Vânătoresc,1,4/5/2026,starkebab_portmall
puțin ardei,3,4/5/2026,starkebab_portmall
Star Kebab Pui,65,4/5/2026,starkebab_portmall
Cheese StarKebab,6,4/5/2026,starkebab_portmall
Star Kebab Pulled Pork *,2,4/5/2026,starkebab_portmall
cu Pită Grecească,1,4/5/2026,starkebab_portmall
cu Cartofi pai,17,4/5/2026,starkebab_portmall
cu Sos Alb,16,4/5/2026,starkebab_portmall
cu ardei,11,4/4/2026,starkebab_portmall
Suc Naturalis 200 ml,3,4/4/2026,starkebab_portmall
Sos Tzatziki,1,4/4/2026,starkebab_portmall
Kids Box cu burger,2,4/4/2026,starkebab_portmall
Star Kebab pui personal,3,4/4/2026,starkebab_portmall
cu Sos Ketchup,1,4/4/2026,starkebab_portmall
Roll Caesar ,4,4/4/2026,starkebab_portmall
cu Lipie clasica,1,4/4/2026,starkebab_portmall
puțin ardei,1,4/4/2026,starkebab_portmall
Nuggets,2,4/4/2026,starkebab_portmall
Gozleme cu carne de pui personal,1,4/4/2026,starkebab_portmall
Combo Star Kebab,10,4/4/2026,starkebab_portmall
cu Cartofi pai,12,4/4/2026,starkebab_portmall
cu Star Kebab Pui,10,4/4/2026,starkebab_portmall
cu Sos Alb,6,4/4/2026,starkebab_portmall
Plăcintă cu brânză și verdeață,5,4/4/2026,starkebab_portmall
Star Kebab Pui,80,4/4/2026,starkebab_portmall
Star Kebab Pulled Pork,2,4/4/2026,starkebab_portmall
Roll cu Pui Crocant,9,4/4/2026,starkebab_portmall
Salată Caesar Pui,3,4/4/2026,starkebab_portmall
Salată Caesar Creveți,2,4/4/2026,starkebab_portmall
cu TOPPING Carne Pui,5,4/4/2026,starkebab_portmall
Kids Box cu roll,5,4/4/2026,starkebab_portmall
Sos Sweet Chilli,3,4/4/2026,starkebab_portmall
Cheese StarKebab,8,4/4/2026,starkebab_portmall
Gozleme,1,4/4/2026,starkebab_portmall
Pachet kebab livrare,4,4/4/2026,starkebab_portmall
Hot dog classic  personal,7,4/4/2026,starkebab_portmall
Sos Alb,3,4/4/2026,starkebab_portmall
Sos Caesar,2,4/4/2026,starkebab_portmall
Star Kebab Veggie,12,4/4/2026,starkebab_portmall
Star Kebab Pulled Pork Mare,7,4/4/2026,starkebab_portmall
Baiețel,1,4/4/2026,starkebab_portmall
Platou Pui,1,4/4/2026,starkebab_portmall
PopCorn de pui,1,4/4/2026,starkebab_portmall
Sos Ketchup,7,4/4/2026,starkebab_portmall
Starburger Grecesc,1,4/4/2026,starkebab_portmall
Star Sticks,2,4/4/2026,starkebab_portmall
Hot dog classic,8,4/4/2026,starkebab_portmall
Star Box,1,4/4/2026,starkebab_portmall
cu Sos Creamy Sweet Chilli,1,4/4/2026,starkebab_portmall
cu TOPPING Cașcaval,21,4/4/2026,starkebab_portmall
Roll cu Creveți,3,4/4/2026,starkebab_portmall
cu Topping Ardei Iute Jalapeno,1,4/4/2026,starkebab_portmall
Combo Star Kebab Pui_,2,4/4/2026,starkebab_portmall
Salată Grecească,1,4/4/2026,starkebab_portmall
Pită BBQ,1,4/4/2026,starkebab_portmall
Fetiță,6,4/4/2026,starkebab_portmall
Star Kebab Vânătoresc,1,4/4/2026,starkebab_portmall
cu Sos Tzatziki,1,4/4/2026,starkebab_portmall
Combo Pui Crocant,1,4/4/2026,starkebab_portmall
Pită Grecească,3,4/4/2026,starkebab_portmall
cu Sos Sweet Chilli,1,4/4/2026,starkebab_portmall
Plăcintă cu vișină,2,4/4/2026,starkebab_portmall
Star Kebab Pui Mare,14,4/4/2026,starkebab_portmall
Sos BBQ,1,4/4/2026,starkebab_portmall
Pită Vânătorească,2,4/4/2026,starkebab_portmall
Start Delicios: Brânzoaice + Cafea/Ceai la alegere,1,4/4/2026,starkebab_portmall
cu Sos BBQ,3,4/4/2026,starkebab_portmall
Topping Carne Pui,1,4/4/2026,starkebab_portmall
Cartofi pai,10,4/4/2026,starkebab_portmall
fără roșii,1,4/4/2026,starkebab_portmall
Cartof copt cu pui,3,4/4/2026,starkebab_portmall
Gozleme cu carne de pui,2,4/4/2026,starkebab_portmall
Roll Fitness,5,4/4/2026,starkebab_portmall
Aripioare BBQ,1,4/4/2026,starkebab_portmall
Plăcintă cu cartofi,8,4/4/2026,starkebab_portmall
cu Cartofi pai,6,4/3/2026,starkebab_portmall
Cartofi pai,3,4/3/2026,starkebab_portmall
Combo Star Kebab,6,4/3/2026,starkebab_portmall
cu Sos BBQ,1,4/3/2026,starkebab_portmall
Roll Caesar ,1,4/3/2026,starkebab_portmall
cu TOPPING Carne Pui,2,4/3/2026,starkebab_portmall
cu ardei,14,4/3/2026,starkebab_portmall
Pită Grecească,1,4/3/2026,starkebab_portmall
Star Kebab Pui Mare,7,4/3/2026,starkebab_portmall
Plăcintă cu cartofi,9,4/3/2026,starkebab_portmall
fără cartofi,1,4/3/2026,starkebab_portmall
cu Star Kebab Pui,6,4/3/2026,starkebab_portmall
Sos Ketchup,1,4/3/2026,starkebab_portmall
cu Lipie clasica,1,4/3/2026,starkebab_portmall
cu Sos Alb,5,4/3/2026,starkebab_portmall
puțin ardei,1,4/3/2026,starkebab_portmall
Star Kebab pui personal,5,4/3/2026,starkebab_portmall
Starburger Grecesc,1,4/3/2026,starkebab_portmall
Cartof copt,1,4/3/2026,starkebab_portmall
Star Kebab Pui,19,4/3/2026,starkebab_portmall
Plăcintă cu brânză și verdeață,9,4/3/2026,starkebab_portmall
cu Topping Ardei Iute Jalapeno,1,4/3/2026,starkebab_portmall
Salată Grecească,1,4/3/2026,starkebab_portmall
Plăcintă cu vișină,2,4/3/2026,starkebab_portmall
Salată Caesar Creveți,1,4/3/2026,starkebab_portmall
Star Kebab Pulled Pork,3,4/3/2026,starkebab_portmall
Cheese StarKebab,4,4/3/2026,starkebab_portmall
Star Kebab Pulled Pork Mare,2,4/3/2026,starkebab_portmall
Pachet kebab livrare,11,4/3/2026,starkebab_portmall
Gozleme cu carne de pui personal,1,4/3/2026,starkebab_portmall
cu TOPPING Cașcaval,6,4/3/2026,starkebab_portmall
Hot dog classic,1,4/3/2026,starkebab_portmall
Nuggets,1,4/3/2026,starkebab_portmall
cu Ardei Jalapinio 10 gr GRATIS,1,4/3/2026,starkebab_portmall
Star Kebab Veggie,4,4/3/2026,starkebab_portmall
Sos BBQ,1,4/3/2026,starkebab_portmall
Hot dog classic  personal,1,4/3/2026,starkebab_portmall
Sos Alb,1,4/3/2026,starkebab_portmall
Star Kebab Pui Mare,4,4/2/2026,starkebab_portmall
Pită Grecească,1,4/2/2026,starkebab_portmall
Cartof copt cu pui,3,4/2/2026,starkebab_portmall
Roll cu Creveți,2,4/2/2026,starkebab_portmall
Sos Alb,3,4/2/2026,starkebab_portmall
Hot dog classic  personal,8,4/2/2026,starkebab_portmall
Sos Ketchup,2,4/2/2026,starkebab_portmall
Combo Star Kebab Pui_,2,4/2/2026,starkebab_portmall
Star Sticks,2,4/2/2026,starkebab_portmall
cu Sos BBQ,2,4/2/2026,starkebab_portmall
Plăcintă cu cartofi,11,4/2/2026,starkebab_portmall
Salată Grecească,1,4/2/2026,starkebab_portmall
Roll Fitness,6,4/2/2026,starkebab_portmall
Cartofi pai,5,4/2/2026,starkebab_portmall
Combo Starburger,1,4/2/2026,starkebab_portmall
Aripioare BBQ,1,4/2/2026,starkebab_portmall
cu TOPPING Cașcaval,2,4/2/2026,starkebab_portmall
Nuggets,1,4/2/2026,starkebab_portmall
Star Kebab Veggie,6,4/2/2026,starkebab_portmall
Plăcintă cu brânză și verdeață,6,4/2/2026,starkebab_portmall
cu Sos Alb,3,4/2/2026,starkebab_portmall
cu Starburger Vânătoresc,1,4/2/2026,starkebab_portmall
Star Kebab Pulled Pork,5,4/2/2026,starkebab_portmall
cu Star Kebab Vânătoresc,1,4/2/2026,starkebab_portmall
cu Star Kebab Pui,1,4/2/2026,starkebab_portmall
Gozleme,1,4/2/2026,starkebab_portmall
Starburger Pui,2,4/2/2026,starkebab_portmall
cu ardei,7,4/2/2026,starkebab_portmall
Star Kebab Pulled Pork Mare,1,4/2/2026,starkebab_portmall
Star Kebab pui personal,3,4/2/2026,starkebab_portmall
Hot dog classic,1,4/2/2026,starkebab_portmall
Star Kebab Pui,29,4/2/2026,starkebab_portmall
cu Topping Ardei Iute Jalapeno,1,4/2/2026,starkebab_portmall
Combo Star Kebab,2,4/2/2026,starkebab_portmall
cu Cartofi pai,5,4/2/2026,starkebab_portmall
Pachet kebab livrare,6,4/2/2026,starkebab_portmall
Salată Caesar Pui,1,4/2/2026,starkebab_portmall
puțin ardei,1,4/2/2026,starkebab_portmall
Cheese StarKebab,3,4/2/2026,starkebab_portmall
cu semințe,1,4/2/2026,starkebab_portmall
Hot dog classic  personal,2,4/1/2026,starkebab_portmall
Pachet kebab livrare,3,4/1/2026,starkebab_portmall
cu Sos Tzatziki,1,4/1/2026,starkebab_portmall
Star Kebab Vânătoresc,1,4/1/2026,starkebab_portmall
Fetiță,1,4/1/2026,starkebab_portmall
cu TOPPING Cașcaval,11,4/1/2026,starkebab_portmall
Star Kebab Pulled Pork *,2,4/1/2026,starkebab_portmall
cu Star Kebab Veggie,1,4/1/2026,starkebab_portmall
Sos Alb,3,4/1/2026,starkebab_portmall
Hot dog Pulled Pork,1,4/1/2026,starkebab_portmall
Salată Caesar Pui,1,4/1/2026,starkebab_portmall
Starburger de Vită,1,4/1/2026,starkebab_portmall
Kids Box cu roll,1,4/1/2026,starkebab_portmall
Roll cu Pui Crocant,2,4/1/2026,starkebab_portmall
Star Kebab Pulled Pork Mare,1,4/1/2026,starkebab_portmall
cu Sos Ketchup,2,4/1/2026,starkebab_portmall
cu ardei,9,4/1/2026,starkebab_portmall
Star Kebab Pui Mare_,1,4/1/2026,starkebab_portmall
Star Kebab Pulled Pork,2,4/1/2026,starkebab_portmall
Star Kebab Veggie,4,4/1/2026,starkebab_portmall
cu TOPPING Carne Pui,1,4/1/2026,starkebab_portmall
Star Kebab Veggie_,1,4/1/2026,starkebab_portmall
Roll Caesar ,2,4/1/2026,starkebab_portmall
Sos Ketchup,1,4/1/2026,starkebab_portmall
Sos Alb_,1,4/1/2026,starkebab_portmall
Star Kebab Pui,18,4/1/2026,starkebab_portmall
